timestamp,max_visibility,roi_0_id,roi_0_edge_density,roi_0_visibility,roi_0_distance,roi_0_label
2025-04-24 10:27:25,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:27:35,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:27:45,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:27:55,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:28:05,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:28:15,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:28:25,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:28:35,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:28:45,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:28:55,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:29:05,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:29:15,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:29:25,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:29:35,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:29:45,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:29:55,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:30:05,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:30:15,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:30:25,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:30:35,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:30:45,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:30:55,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:31:05,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:31:15,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:31:25,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:31:35,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:31:45,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:31:55,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:32:05,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:32:15,609.2,roi_0,4.25,478.7,500.0,A,roi_1,23.86,609.2,800.0,B
2025-04-24 10:32:17,612.9,roi_0,5.7,471.5,500.0,A,roi_1,23.38,612.9,800.0,B
2025-04-24 10:32:25,612.9,roi_0,5.7,471.5,500.0,A,roi_1,23.38,612.9,800.0,B
2025-04-24 10:32:25,612.9,roi_0,5.7,471.5,500.0,A,roi_1,23.38,612.9,800.0,B
2025-04-24 10:32:35,617.2,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B
2025-04-24 10:32:52,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:33:02,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:33:12,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:33:22,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:33:33,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:33:59,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:34:59,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:35:59,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:36:59,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:37:19,1200.0,roi_0,5.62,471.9,500.0,A,roi_1,22.85,617.2,800.0,B,roi_2,0.0,1200.0,1200.0,C
2025-04-24 10:37:21,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:37:22,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:37:23,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:37:33,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:37:43,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:37:53,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:38:06,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:38:34,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:38:42,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:38:52,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:39:02,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:39:13,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:39:22,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:39:32,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:39:42,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:39:53,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:40:02,1154.0,roi_0,4.66,476.7,500.0,A,roi_1,22.68,618.5,800.0,B,roi_2,3.83,1154.0,1200.0,C
2025-04-24 10:40:18,1156.3,roi_0,5.11,474.5,500.0,A,roi_1,20.9,632.8,800.0,B,roi_2,3.64,1156.3,1200.0,C
2025-04-24 10:40:28,1156.3,roi_0,5.11,474.5,500.0,A,roi_1,20.9,632.8,800.0,B,roi_2,3.64,1156.3,1200.0,C
2025-04-24 10:40:38,1156.3,roi_0,5.11,474.5,500.0,A,roi_1,20.9,632.8,800.0,B,roi_2,3.64,1156.3,1200.0,C
2025-04-24 10:40:48,1156.3,roi_0,5.11,474.5,500.0,A,roi_1,20.9,632.8,800.0,B,roi_2,3.64,1156.3,1200.0,C
2025-04-24 10:40:58,1156.3,roi_0,5.11,474.5,500.0,A,roi_1,20.9,632.8,800.0,B,roi_2,3.64,1156.3,1200.0,C
