timestamp,max_visibility,roi_0_id,roi_0_edge_density,roi_0_visibility,roi_0_distance,roi_0_label,roi_1_id,roi_1_edge_density,roi_1_visibility,roi_1_distance,roi_1_label,roi_2_id,roi_2_edge_density,roi_2_visibility,roi_2_distance,roi_2_label
2025-04-24 10:20:51,278.1,roi_0,2.76,97.2,100.0,A,roi_1,6.3,187.4,200.0,B,roi_2,7.29,278.1,300.0,XC
2025-04-24 10:21:01,278.1,roi_0,2.76,97.2,100.0,A,roi_1,6.3,187.4,200.0,B,roi_2,7.29,278.1,300.0,XC
2025-04-24 10:21:11,278.1,roi_0,2.76,97.2,100.0,A,roi_1,6.3,187.4,200.0,B,roi_2,7.29,278.1,300.0,XC
2025-04-24 10:21:21,278.1,roi_0,2.76,97.2,100.0,A,roi_1,6.3,187.4,200.0,B,roi_2,7.29,278.1,300.0,XC
2025-04-24 10:21:31,278.1,roi_0,2.76,97.2,100.0,A,roi_1,6.3,187.4,200.0,B,roi_2,7.29,278.1,300.0,XC
2025-04-24 10:21:41,278.1,roi_0,2.76,97.2,100.0,A,roi_1,6.3,187.4,200.0,B,roi_2,7.29,278.1,300.0,XC
2025-04-24 10:23:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:23:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:23:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:24:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:24:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:24:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:24:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:24:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:24:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:25:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:25:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:25:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:25:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:25:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:25:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:26:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:26:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:26:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:26:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
