timestamp,temperature,humidity,pressure,wind_speed,wind_gust,wind_direction,precip_rate,precip_total
2025-04-22T15:43:14.730638,38.33,34,1007,4.05,3.78,186,0,0
2025-04-22T15:43:23.560892,38.33,34,1007,4.05,3.78,186,0,0
