timestamp,station_temperature,station_dew_point,station_humidity,station_wind_speed,station_wind_gust,station_wind_direction,station_pressure,station_precip_rate,station_precip_total,openweather_temperature,openweather_humidity,openweather_pressure,openweather_wind_speed,openweather_wind_gust,openweather_wind_direction,openweather_precip_rate,openweather_precip_total
2025-04-23T13:29:17.900202,32,24.8,64,0,0,90,1009.48,0.0,3.3,36.57,49,1009,3.03,3.7,288,0,0
2025-04-23T13:36:03.708561,32,24.8,64,0,0,90,1009.48,0.0,3.3,36.57,49,1009,3.03,3.7,288,0,0
2025-04-23T13:36:18.434815,32,24.8,64,0,0,90,1009.48,0.0,3.3,36.57,49,1009,3.03,3.7,288,0,0
2025-04-23T13:36:25.498587,32,24.8,64,0,0,90,1009.48,0.0,3.3,36.57,49,1009,3.03,3.7,288,0,0
2025-04-23T13:36:34.019530,32,24.8,64,0,0,90,1009.48,0.0,3.3,36.57,49,1009,3.03,3.7,288,0,0
2025-04-23T14:09:15.083555,32,24.8,64,0,0,90,1008.81,0.0,3.3,36.87,48,1008,2.78,4.25,242,0,0
2025-04-23T14:17:12.695088,32,24.6,63,0,0,90,1008.47,0.0,3.3,36.87,48,1008,2.78,4.25,242,0,0
2025-04-23T14:26:04.285292,32,24.6,63,0,0,90,1008.47,0.0,3.3,36.92,47,1007,2.78,4.25,242,0,0
2025-04-23T14:27:57.496063,32,24.6,63,0,0,90,1008.13,0.0,3.3,36.92,47,1007,2.78,4.25,242,0,0
2025-04-23T14:31:02.426002,32,24.6,63,0,0,90,1008.47,0.0,3.3,36.92,47,1007,2.78,4.25,242,0,0
